dv,block,F,df,F_p,BH_q
opp_directed,position,1.35,4,0.2473,0.4946
opp_directed,game_state,1.41,2,0.2441,0.4946
opp_directed,age,0.19,2,0.823,0.823
opp_directed,odds,0.26,2,0.774,0.823
opp_directed,OVERALL_heterogeneity,0.86,10,0.5701,
pressures,position,1.08,4,0.3629,0.7258
pressures,game_state,1.5,2,0.2229,0.7258
pressures,age,0.46,2,0.6344,0.8209
pressures,odds,0.2,2,0.8209,0.8209
pressures,OVERALL_heterogeneity,0.88,10,0.5518,
tackles,position,1.86,4,0.1143,0.4572
tackles,game_state,0.16,2,0.8502,0.8502
tackles,age,0.61,2,0.5461,0.7282
tackles,odds,0.91,2,0.4023,0.7282
tackles,OVERALL_heterogeneity,1.16,10,0.3165,
fouls,position,4.04,4,0.0029,0.0058
fouls,game_state,6.41,2,0.0017,0.0058
fouls,age,0.18,2,0.839,0.839
fouls,odds,1.29,2,0.2743,0.3657
fouls,OVERALL_heterogeneity,3.03,10,0.0008,
