dv,term,coef,se,p
def_actions,const,-0.1459,0.1395,0.2957
def_actions,pos_WideDef,-0.0053,0.1635,0.9744
def_actions,pos_DefMid,-0.1041,0.1563,0.5052
def_actions,pos_OffMid,0.1832,0.264,0.4878
def_actions,pos_Forward,0.1686,0.1672,0.3135
def_actions,gs_trailing,-0.0823,0.1461,0.5732
def_actions,gs_leading,-0.3454,0.1574,0.0282
def_actions,age_std,0.0231,0.0644,0.72
def_actions,age_std_sq,0.002,0.0451,0.9641
def_actions,odds_std,-0.0126,0.072,0.8616
def_actions,odds_std_sq,0.0248,0.0553,0.6542
pressures,const,-0.0146,0.0916,0.8732
pressures,pos_WideDef,-0.1082,0.1039,0.2979
pressures,pos_DefMid,-0.1111,0.1051,0.2904
pressures,pos_OffMid,0.0908,0.196,0.6431
pressures,pos_Forward,0.1275,0.1218,0.2952
pressures,gs_trailing,-0.1071,0.0996,0.282
pressures,gs_leading,-0.1776,0.1083,0.1011
pressures,age_std,0.0454,0.0462,0.3259
pressures,age_std_sq,0.001,0.0332,0.9747
pressures,odds_std,0.0245,0.0473,0.6042
pressures,odds_std_sq,-0.015,0.0391,0.7011
tackles,const,-0.0343,0.0297,0.2479
tackles,pos_WideDef,-0.0174,0.0377,0.6449
tackles,pos_DefMid,0.027,0.035,0.4407
tackles,pos_OffMid,0.1313,0.056,0.019
tackles,pos_Forward,0.0029,0.0314,0.9276
tackles,gs_trailing,-0.002,0.0307,0.9489
tackles,gs_leading,-0.015,0.0325,0.6437
tackles,age_std,-0.0113,0.0143,0.4275
tackles,age_std_sq,0.0095,0.0095,0.3163
tackles,odds_std,0.0009,0.0153,0.953
tackles,odds_std_sq,0.0151,0.0122,0.2137
fouls,const,-0.0628,0.0231,0.0066
fouls,pos_WideDef,0.0226,0.0277,0.4149
fouls,pos_DefMid,-0.0743,0.0242,0.0021
fouls,pos_OffMid,0.0095,0.0413,0.8182
fouls,pos_Forward,0.0099,0.0291,0.734
fouls,gs_trailing,0.0762,0.024,0.0015
fouls,gs_leading,-0.0156,0.0234,0.5041
fouls,age_std,-0.0032,0.0105,0.7578
fouls,age_std_sq,-0.002,0.0066,0.7593
fouls,odds_std,0.019,0.0114,0.0961
fouls,odds_std_sq,-0.0072,0.0093,0.4374
ball_recoveries,const,0.0061,0.0506,0.9037
ball_recoveries,pos_WideDef,0.0203,0.0567,0.7207
ball_recoveries,pos_DefMid,-0.0258,0.0527,0.6241
ball_recoveries,pos_OffMid,-0.1218,0.0792,0.1241
ball_recoveries,pos_Forward,-0.0148,0.0573,0.7966
ball_recoveries,gs_trailing,-0.0454,0.0461,0.3252
ball_recoveries,gs_leading,-0.0531,0.0497,0.2854
ball_recoveries,age_std,-0.0209,0.0203,0.3035
ball_recoveries,age_std_sq,0.0129,0.0145,0.3718
ball_recoveries,odds_std,-0.0278,0.0221,0.2081
ball_recoveries,odds_std_sq,0.0268,0.019,0.1585
clearances,const,-0.0246,0.0525,0.6392
clearances,pos_WideDef,0.1063,0.0555,0.0556
clearances,pos_DefMid,0.0712,0.048,0.1384
clearances,pos_OffMid,0.0895,0.0516,0.0826
clearances,pos_Forward,0.0617,0.0464,0.184
clearances,gs_trailing,-0.0312,0.0344,0.364
clearances,gs_leading,-0.068,0.0369,0.0658
clearances,age_std,0.0167,0.0138,0.224
clearances,age_std_sq,-0.0188,0.0095,0.0473
clearances,odds_std,0.0002,0.0157,0.9904
clearances,odds_std_sq,-0.0081,0.0139,0.5606
blocks,const,-0.061,0.0292,0.0367
blocks,pos_WideDef,-0.0084,0.0373,0.8223
blocks,pos_DefMid,0.0644,0.0313,0.0399
blocks,pos_OffMid,0.0165,0.0459,0.7189
blocks,pos_Forward,0.0438,0.0337,0.1939
blocks,gs_trailing,0.0086,0.0289,0.7657
blocks,gs_leading,-0.0117,0.0313,0.7085
blocks,age_std,-0.0035,0.0125,0.7797
blocks,age_std_sq,0.0072,0.0089,0.4198
blocks,odds_std,-0.0121,0.0145,0.4052
blocks,odds_std_sq,0.015,0.0114,0.1881
interceptions,const,0.0142,0.0294,0.6288
interceptions,pos_WideDef,-0.0064,0.0332,0.8462
interceptions,pos_DefMid,0.0033,0.0319,0.9186
interceptions,pos_OffMid,0.006,0.0388,0.8773
interceptions,pos_Forward,-0.0227,0.0287,0.4284
interceptions,gs_trailing,-0.0024,0.0258,0.926
interceptions,gs_leading,0.0026,0.0261,0.9211
interceptions,age_std,0.0043,0.0105,0.6857
interceptions,age_std_sq,-0.0013,0.0071,0.8567
interceptions,odds_std,-0.018,0.0114,0.1155
interceptions,odds_std_sq,0.0016,0.0097,0.8677
