dv,state,theta,se,p,control_mean,rel
opp_directed,trailing,-0.1585,0.0935,0.0899,3.565,-4.4%
opp_directed,level,-0.118,0.0782,0.1315,3.451,-3.4%
opp_directed,leading,-0.3307,0.0984,0.0008,3.442,-9.6%
pressures,trailing,-0.1512,0.0767,0.0487,2.955,-5.1%
pressures,level,-0.0456,0.0659,0.4895,2.844,-1.6%
pressures,leading,-0.2259,0.0843,0.0074,2.834,-8.0%
tackles,trailing,0.0044,0.0235,0.8518,0.35,+1.3%
tackles,level,0.005,0.0198,0.7998,0.34,+1.5%
tackles,leading,-0.0127,0.0254,0.6175,0.353,-3.6%
fouls,trailing,-0.0057,0.0197,0.7716,0.261,-2.2%
fouls,level,-0.0819,0.0146,0.0,0.267,-30.7%
fouls,leading,-0.0952,0.0182,0.0,0.255,-37.3%
