dv,pos5,theta,se,p,control_mean,rel
opp_directed,CentralDef,-0.1932,0.0789,0.0143,2.301,-8.4%
opp_directed,WideDef,-0.2786,0.1035,0.0071,3.254,-8.6%
opp_directed,DefMid,-0.3392,0.0997,0.0007,4.615,-7.4%
opp_directed,OffMid,0.0583,0.2129,0.7843,4.089,+1.4%
opp_directed,Forward,-0.0578,0.1138,0.6113,3.413,-1.7%
pressures,CentralDef,-0.1107,0.0629,0.0786,1.777,-6.2%
pressures,WideDef,-0.221,0.0834,0.0081,2.585,-8.5%
pressures,DefMid,-0.2282,0.0844,0.0068,3.825,-6.0%
pressures,OffMid,-0.0311,0.1812,0.8637,3.518,-0.9%
pressures,Forward,-0.0091,0.1036,0.9297,2.946,-0.3%
tackles,CentralDef,-0.0133,0.023,0.5649,0.321,-4.1%
tackles,WideDef,-0.035,0.0299,0.2429,0.434,-8.1%
tackles,DefMid,0.0068,0.0267,0.7975,0.453,+1.5%
tackles,OffMid,0.1242,0.0512,0.0152,0.3,+41.4%
tackles,Forward,-0.0136,0.0215,0.5274,0.205,-6.6%
fouls,CentralDef,-0.0555,0.0172,0.0013,0.203,-27.4%
fouls,WideDef,-0.0304,0.0222,0.1711,0.235,-12.9%
fouls,DefMid,-0.1296,0.0169,0.0,0.336,-38.6%
fouls,OffMid,-0.0464,0.0362,0.2001,0.271,-17.2%
fouls,Forward,-0.0452,0.0235,0.0547,0.262,-17.3%
