learner,dv,ate,se,p
HGB (baseline),opp_directed,-0.2173,0.0491,0.0
HGB (baseline),pressures,-0.1431,0.0413,0.0005
HGB (baseline),tackles,-0.001,0.0126,0.9389
HGB (baseline),fouls,-0.0694,0.0096,0.0
HGB (baseline),ball_directed,-0.0082,0.0288,0.7747
HGB (baseline),ball_recoveries,0.0062,0.0194,0.749
HGB (baseline),clearances,-0.0157,0.0141,0.2641
HGB (baseline),blocks,-0.0113,0.0117,0.3335
HGB (baseline),interceptions,0.0147,0.0106,0.1654
HGB (deeper),opp_directed,-0.2167,0.0493,0.0
HGB (deeper),pressures,-0.1386,0.0417,0.0009
HGB (deeper),tackles,-0.0002,0.0126,0.9879
HGB (deeper),fouls,-0.0696,0.0096,0.0
HGB (deeper),ball_directed,-0.0064,0.0288,0.8241
HGB (deeper),ball_recoveries,0.0059,0.0194,0.7594
HGB (deeper),clearances,-0.0164,0.014,0.2403
HGB (deeper),blocks,-0.0108,0.0117,0.3574
HGB (deeper),interceptions,0.0158,0.0106,0.1358
Random forest,opp_directed,-0.2152,0.049,0.0
Random forest,pressures,-0.1411,0.0413,0.0006
Random forest,tackles,0.0009,0.0126,0.9461
Random forest,fouls,-0.0695,0.0096,0.0
Random forest,ball_directed,-0.0053,0.0288,0.8548
Random forest,ball_recoveries,0.0031,0.0194,0.8739
Random forest,clearances,-0.014,0.0141,0.3208
Random forest,blocks,-0.0114,0.0117,0.3287
Random forest,interceptions,0.0158,0.0106,0.1363
Linear (logit / ridge),opp_directed,-0.2128,0.0486,0.0
Linear (logit / ridge),pressures,-0.1399,0.0409,0.0006
Linear (logit / ridge),tackles,-0.0028,0.0126,0.8266
Linear (logit / ridge),fouls,-0.0701,0.0096,0.0
Linear (logit / ridge),ball_directed,-0.0093,0.0287,0.7467
Linear (logit / ridge),ball_recoveries,0.0055,0.0194,0.7752
Linear (logit / ridge),clearances,-0.0158,0.0141,0.2599
Linear (logit / ridge),blocks,-0.0122,0.0117,0.2977
Linear (logit / ridge),interceptions,0.0132,0.0106,0.2124
