seed,dv,ate
0,def_actions,-0.21797272618962518
0,pressures,-0.14155696560078382
0,tackles,-0.0005814443645055174
0,fouls,-0.06962589189537927
0,ball_recoveries,0.005921141957521616
0,clearances,-0.016284415178666547
0,blocks,-0.01155147771196944
0,interceptions,0.015096669108809123
1,def_actions,-0.21791874186923568
1,pressures,-0.13917895287817897
1,tackles,0.0010430219364412807
1,fouls,-0.06950283188065294
1,ball_recoveries,0.004707905613258246
1,clearances,-0.013737415579015413
1,blocks,-0.012183401136919559
1,interceptions,0.01510774485962349
2,def_actions,-0.22157610277711307
2,pressures,-0.147827722351967
2,tackles,-0.0002643089148957602
2,fouls,-0.06917507264192219
2,ball_recoveries,0.0032406299284287367
2,clearances,-0.0161750834592747
2,blocks,-0.010745527538072433
2,interceptions,0.013693074487686406
3,def_actions,-0.22150348558787528
3,pressures,-0.15473672387362084
3,tackles,-0.002188379199212436
3,fouls,-0.069310654162311
3,ball_recoveries,0.003024325584712044
3,clearances,-0.011958595772108444
3,blocks,-0.011239543858578406
3,interceptions,0.015037977400668178
4,def_actions,-0.22222874564488668
4,pressures,-0.14598918327939667
4,tackles,-0.00037578914939820655
4,fouls,-0.06872184354595125
4,ball_recoveries,0.0029390905030637674
4,clearances,-0.015133373814586706
4,blocks,-0.011526485703919615
4,interceptions,0.014031477085024058
5,def_actions,-0.2193528026327891
5,pressures,-0.1412229542232073
5,tackles,-0.0010511755403963673
5,fouls,-0.0697119362181421
5,ball_recoveries,0.0019623672974323813
5,clearances,-0.013557307281996308
5,blocks,-0.010736782852259284
5,interceptions,0.015065637682290816
6,def_actions,-0.22667028344450404
6,pressures,-0.15205512159993714
6,tackles,-0.0008521308294761379
6,fouls,-0.06843697452303688
6,ball_recoveries,0.0028562678210810382
6,clearances,-0.012930360656744527
6,blocks,-0.011785061864864079
6,interceptions,0.015137777436972638
7,def_actions,-0.2192303489673486
7,pressures,-0.1442191156468395
7,tackles,-0.0007513421298558241
7,fouls,-0.06920103955266181
7,ball_recoveries,0.003490930047006506
7,clearances,-0.013296362820114586
7,blocks,-0.011275742737973408
7,interceptions,0.014622269056025665
8,def_actions,-0.2310402152517948
8,pressures,-0.15096670144393431
8,tackles,-0.0007073721943483849
8,fouls,-0.07047823104213709
8,ball_recoveries,0.00472761488740816
8,clearances,-0.015697074255520835
8,blocks,-0.011299350247248293
8,interceptions,0.015151319835786216
9,def_actions,-0.22408456889020745
9,pressures,-0.1428604576338301
9,tackles,-0.0011040932624103164
9,fouls,-0.0691450793579076
9,ball_recoveries,0.005844602498319931
9,clearances,-0.010713353057409409
9,blocks,-0.010313542371011678
9,interceptions,0.014227970496641219
10,def_actions,-0.23402918328103578
10,pressures,-0.151930305583064
10,tackles,-0.0015837857987855586
10,fouls,-0.06860395327935832
10,ball_recoveries,0.0058595460434940246
10,clearances,-0.01326900976751237
10,blocks,-0.011258402248267407
10,interceptions,0.01417145630372908
11,def_actions,-0.2188732762879648
11,pressures,-0.1457573713144049
11,tackles,-0.002485236632169255
11,fouls,-0.06934483771723587
11,ball_recoveries,0.004638191973331697
11,clearances,-0.013795309532426997
11,blocks,-0.011980949997130326
11,interceptions,0.014262933673987625
12,def_actions,-0.2277118484224794
12,pressures,-0.14833688749111637
12,tackles,-0.0013676203524345453
12,fouls,-0.07010791888777279
12,ball_recoveries,0.0035306544538011926
12,clearances,-0.012853079823248398
12,blocks,-0.013445319735605553
12,interceptions,0.014133500244858911
13,def_actions,-0.2147840644943355
13,pressures,-0.14345491954428646
13,tackles,-0.002690018257851555
13,fouls,-0.06897354580070815
13,ball_recoveries,0.004548026444987803
13,clearances,-0.01091162952393071
13,blocks,-0.011414689863096527
13,interceptions,0.015802178909644634
14,def_actions,-0.22593494787528215
14,pressures,-0.14514790591206603
14,tackles,-0.002449844835840257
14,fouls,-0.06873065959571772
14,ball_recoveries,0.0026982573202795025
14,clearances,-0.011823812342935312
14,blocks,-0.010956730855367396
14,interceptions,0.015471501488234328
15,def_actions,-0.2263256562137271
15,pressures,-0.14611274221558673
15,tackles,-0.001745953886301975
15,fouls,-0.06911670542119028
15,ball_recoveries,0.0055638001677074415
15,clearances,-0.017622579854715898
15,blocks,-0.011078118031719472
15,interceptions,0.014137004962705474
16,def_actions,-0.2263659680650221
16,pressures,-0.14311562840594688
16,tackles,-0.0020804915761125963
16,fouls,-0.06928309781522043
16,ball_recoveries,0.0025066671491809564
16,clearances,-0.013571350349702993
16,blocks,-0.012272639840916413
16,interceptions,0.013583436590467169
17,def_actions,-0.22223492954507743
17,pressures,-0.1512741161021844
17,tackles,-0.000858753380314904
17,fouls,-0.06839370050795701
17,ball_recoveries,0.003165335929914436
17,clearances,-0.014130944206422953
17,blocks,-0.011543440397974877
17,interceptions,0.015018386659170232
18,def_actions,-0.21878593936704419
18,pressures,-0.1451544874280611
18,tackles,-0.00042979184438173847
18,fouls,-0.06926415623501536
18,ball_recoveries,0.003658440242068758
18,clearances,-0.011539291685287955
18,blocks,-0.010599631916049054
18,interceptions,0.01431502551820136
19,def_actions,-0.23053704668790026
19,pressures,-0.148171115560187
19,tackles,-0.0015668561150750215
19,fouls,-0.06914918288920754
19,ball_recoveries,0.0032579484360443405
19,clearances,-0.016410622730089596
19,blocks,-0.011338778747892403
19,interceptions,0.015333721180783225
