window,dv,control_p,ate_pp,se_pp,p,rel,lee_lo_pp,lee_hi_pp,lee_lo_se_pp,lee_hi_se_pp,zero_excluded
45-50,any_def_action,0.7993,-0.65,0.76,0.3924,-0.8%,-2.74,-0.13,0.76,0.76,True
45-50,any_pressure,0.6235,-1.94,0.91,0.0334,-3.1%,-3.53,-1.03,0.91,0.91,True
45-50,any_tackle,0.1171,0.44,0.63,0.4909,+3.7%,0.1,2.76,0.63,0.63,True
45-50,any_foul,0.0943,-2.59,0.52,0.0,-27.5%,-2.85,-0.13,0.52,0.51,True
45-60,any_def_action,0.9747,0.02,0.29,0.9483,+0.0%,-2.04,0.16,0.28,0.29,False
45-60,any_pressure,0.88,0.5,0.59,0.402,+0.6%,-4.26,1.13,0.58,0.6,False
45-60,any_tackle,0.2798,0.0,0.89,0.9988,+0.0%,-1.78,4.38,0.89,0.89,False
45-60,any_foul,0.2265,-5.41,0.78,0.0,-23.9%,-6.86,-0.65,0.78,0.78,True
45-70,any_def_action,0.9948,-0.12,0.15,0.4343,-0.1%,-0.55,-0.08,0.15,0.15,True
45-70,any_pressure,0.9508,-0.25,0.43,0.5675,-0.3%,-4.58,0.09,0.43,0.44,False
45-70,any_tackle,0.3989,0.05,1.03,0.9592,+0.1%,-3.74,5.44,1.03,1.04,False
45-70,any_foul,0.3301,-8.14,0.94,0.0,-24.6%,-11.35,-1.99,0.95,0.93,True
45-80,any_def_action,0.9985,0.02,0.07,0.7415,+0.0%,-0.1,0.03,0.07,0.07,False
45-80,any_pressure,0.9746,-0.6,0.37,0.1004,-0.6%,-2.86,-0.32,0.36,0.37,True
45-80,any_tackle,0.4975,-1.29,1.1,0.2403,-2.6%,-7.3,4.23,1.1,1.11,False
45-80,any_foul,0.4146,-10.43,1.06,0.0,-25.2%,-15.48,-3.52,1.08,1.07,True
45-90,any_def_action,0.9996,-0.02,0.05,0.654,-0.0%,-0.05,-0.02,0.05,0.05,True
45-90,any_pressure,0.9876,-0.36,0.27,0.1855,-0.4%,-1.46,-0.26,0.27,0.27,True
45-90,any_tackle,0.6005,-1.52,1.13,0.1787,-2.5%,-9.61,3.78,1.13,1.14,False
45-90,any_foul,0.5039,-11.18,1.16,0.0,-22.2%,-18.22,-4.56,1.17,1.17,True
