window,dv,control_p,ate_pp,se_pp,p,rel,lee_lo_pp,lee_hi_pp,lee_lo_se_pp,lee_hi_se_pp,zero_excluded,im_c,ci_lo_pp,ci_hi_pp,zero_excluded_ci
45-50,any_def_action,0.7993,-0.65,0.76,0.3924,-0.8%,-2.74,-0.13,0.76,0.76,True,1.645,-3.99,1.12,False
45-50,any_pressure,0.6235,-1.94,0.91,0.0334,-3.1%,-3.53,-1.03,0.91,0.91,True,1.645,-5.03,0.47,False
45-50,any_tackle,0.1171,0.44,0.63,0.4909,+3.7%,0.1,2.76,0.63,0.63,True,1.645,-0.94,3.8,False
45-50,any_foul,0.0943,-2.59,0.52,0.0,-27.5%,-2.85,-0.13,0.52,0.51,True,1.645,-3.71,0.71,False
45-50,any_recovery,0.2738,-0.08,0.88,0.9286,-0.3%,-0.76,1.89,0.88,0.88,False,1.645,-2.21,3.34,False
45-50,any_clearance,0.127,1.06,0.66,0.1118,+8.3%,0.6,3.36,0.66,0.66,True,1.645,-0.49,4.45,False
45-50,any_block,0.1196,-1.39,0.61,0.0224,-11.6%,-1.69,1.07,0.61,0.6,False,1.645,-2.69,2.06,False
45-50,any_interception,0.0762,0.54,0.54,0.3141,+7.1%,0.32,3.02,0.54,0.54,True,1.645,-0.57,3.91,False
45-60,any_def_action,0.9747,0.02,0.29,0.9483,+0.0%,-2.04,0.16,0.28,0.29,False,1.645,-2.5,0.64,False
45-60,any_pressure,0.88,0.5,0.59,0.402,+0.6%,-4.26,1.13,0.58,0.6,False,1.645,-5.21,2.12,False
45-60,any_tackle,0.2798,0.0,0.89,0.9988,+0.0%,-1.78,4.38,0.89,0.89,False,1.645,-3.24,5.84,False
45-60,any_foul,0.2265,-5.41,0.78,0.0,-23.9%,-6.86,-0.65,0.78,0.78,True,1.645,-8.14,0.63,False
45-60,any_recovery,0.5525,0.81,1.0,0.4169,+1.5%,-2.6,3.49,1.0,1.0,False,1.645,-4.24,5.14,False
45-60,any_clearance,0.2781,-0.02,0.85,0.9779,-0.1%,-1.66,4.35,0.85,0.84,False,1.645,-3.06,5.73,False
45-60,any_block,0.2768,-0.49,0.88,0.5801,-1.8%,-2.08,3.86,0.88,0.88,False,1.645,-3.53,5.31,False
45-60,any_interception,0.1795,0.65,0.8,0.4106,+3.6%,-0.41,5.85,0.8,0.79,False,1.645,-1.73,7.15,False
45-70,any_def_action,0.9948,-0.12,0.15,0.4343,-0.1%,-0.55,-0.08,0.15,0.15,True,1.645,-0.8,0.17,False
45-70,any_pressure,0.9508,-0.25,0.43,0.5675,-0.3%,-4.58,0.09,0.43,0.44,False,1.645,-5.29,0.81,False
45-70,any_tackle,0.3989,0.05,1.03,0.9592,+0.1%,-3.74,5.44,1.03,1.04,False,1.645,-5.43,7.15,False
45-70,any_foul,0.3301,-8.14,0.94,0.0,-24.6%,-11.35,-1.99,0.95,0.93,True,1.645,-12.91,-0.46,True
45-70,any_recovery,0.7091,-0.4,0.94,0.6664,-0.6%,-6.95,2.17,0.93,0.94,False,1.645,-8.48,3.72,False
45-70,any_clearance,0.3946,1.67,0.93,0.0729,+4.2%,-1.76,7.47,0.93,0.94,False,1.645,-3.29,9.02,False
45-70,any_block,0.3974,-0.47,1.01,0.6419,-1.2%,-4.27,5.12,1.02,1.01,False,1.645,-5.95,6.78,False
45-70,any_interception,0.2637,0.49,0.95,0.6029,+1.9%,-2.21,7.39,0.95,0.94,False,1.645,-3.77,8.94,False
45-80,any_def_action,0.9985,0.02,0.07,0.7415,+0.0%,-0.1,0.03,0.07,0.07,False,1.647,-0.22,0.15,False
45-80,any_pressure,0.9746,-0.6,0.37,0.1004,-0.6%,-2.86,-0.32,0.36,0.37,True,1.645,-3.45,0.29,False
45-80,any_tackle,0.4975,-1.29,1.1,0.2403,-2.6%,-7.3,4.23,1.1,1.11,False,1.645,-9.11,6.06,False
45-80,any_foul,0.4146,-10.43,1.06,0.0,-25.2%,-15.48,-3.52,1.08,1.07,True,1.645,-17.26,-1.76,True
45-80,any_recovery,0.801,-0.18,0.88,0.834,-0.2%,-9.3,2.1,0.87,0.88,False,1.645,-10.73,3.55,False
45-80,any_clearance,0.4909,1.31,0.97,0.1786,+2.7%,-4.65,6.91,0.97,0.98,False,1.645,-6.25,8.52,False
45-80,any_block,0.493,0.43,1.12,0.6975,+0.9%,-5.47,6.23,1.12,1.12,False,1.645,-7.31,8.07,False
45-80,any_interception,0.3404,0.57,1.05,0.5885,+1.7%,-3.68,8.25,1.06,1.06,False,1.645,-5.42,9.99,False
45-90,any_def_action,0.9996,-0.02,0.05,0.654,-0.0%,-0.05,-0.02,0.05,0.05,True,1.745,-0.14,0.07,False
45-90,any_pressure,0.9876,-0.36,0.27,0.1855,-0.4%,-1.46,-0.26,0.27,0.27,True,1.645,-1.9,0.18,False
45-90,any_tackle,0.6005,-1.52,1.13,0.1787,-2.5%,-9.61,3.78,1.13,1.14,False,1.645,-11.47,5.66,False
45-90,any_foul,0.5039,-11.18,1.16,0.0,-22.2%,-18.22,-4.56,1.17,1.17,True,1.645,-20.14,-2.64,True
45-90,any_recovery,0.8771,0.46,0.75,0.5368,+0.5%,-8.63,2.03,0.74,0.75,False,1.645,-9.85,3.26,False
45-90,any_clearance,0.5917,2.33,0.99,0.019,+3.9%,-6.04,7.53,1.0,1.0,False,1.645,-7.68,9.18,False
45-90,any_block,0.5938,0.06,1.13,0.9593,+0.1%,-8.12,5.51,1.13,1.14,False,1.645,-9.98,7.39,False
45-90,any_interception,0.4195,-0.0,1.14,0.9974,-0.0%,-5.85,7.63,1.14,1.14,False,1.645,-7.73,9.51,False
