window,dv,n,treated,control_mean,ate,se,p,rel,lee_lo,lee_hi,lee_lo_se,lee_hi_se,lee_lo_rel,lee_hi_rel
45-50,opp_directed,46553,2890,1.387,-0.1122,0.0279,0.0001,-8.1%,-0.1511,0.0145,0.0278,0.0275,-10.9%,+1.0%
45-50,pressures,46553,2890,1.159,-0.0883,0.023,0.0001,-7.6%,-0.1174,0.0115,0.023,0.0227,-10.1%,+1.0%
45-50,tackles,46553,2890,0.128,0.0062,0.0075,0.4099,+4.8%,0.0023,0.0391,0.0075,0.0074,+1.8%,+30.5%
45-50,fouls,46553,2890,0.099,-0.0279,0.0056,0.0,-28.1%,-0.031,0.0016,0.0056,0.0055,-31.2%,+1.6%
45-50,ball_directed,46553,2890,0.688,-0.0013,0.0171,0.94,-0.2%,-0.0238,0.0707,0.0171,0.017,-3.5%,+10.3%
45-50,ball_recoveries,46553,2890,0.327,0.0001,0.0117,0.9951,+0.0%,-0.0085,0.0496,0.0117,0.0116,-2.6%,+15.2%
45-50,clearances,46553,2890,0.151,0.0065,0.0081,0.4236,+4.3%,0.001,0.0475,0.0081,0.008,+0.7%,+31.6%
45-50,blocks,46553,2890,0.13,-0.015,0.0069,0.0288,-11.6%,-0.0183,0.0178,0.0069,0.0068,-14.1%,+13.7%
45-50,interceptions,46553,2890,0.08,0.0079,0.0063,0.2119,+9.8%,0.0059,0.0373,0.0063,0.0062,+7.4%,+46.5%
45-60,opp_directed,44706,2697,3.478,-0.2224,0.0483,0.0,-6.4%,-0.4104,0.1659,0.0482,0.0483,-11.8%,+4.8%
45-60,pressures,44706,2697,2.87,-0.1519,0.0406,0.0002,-5.3%,-0.3015,0.1635,0.0402,0.0404,-10.5%,+5.7%
45-60,tackles,44706,2697,0.348,-0.0049,0.0124,0.6942,-1.4%,-0.0264,0.1015,0.0124,0.0123,-7.6%,+29.2%
45-60,fouls,44706,2697,0.261,-0.0648,0.0096,0.0,-24.8%,-0.0832,0.0192,0.0096,0.0094,-31.9%,+7.4%
45-60,ball_directed,44706,2697,1.781,-0.005,0.0285,0.8599,-0.3%,-0.1111,0.2062,0.0283,0.0282,-6.2%,+11.6%
45-60,ball_recoveries,44706,2697,0.841,0.0028,0.0192,0.8818,+0.3%,-0.0465,0.1424,0.0191,0.0188,-5.5%,+16.9%
45-60,clearances,44706,2697,0.398,-0.0077,0.0142,0.5895,-1.9%,-0.0298,0.1111,0.0143,0.0141,-7.5%,+27.9%
45-60,blocks,44706,2697,0.334,-0.0139,0.0114,0.2245,-4.1%,-0.0351,0.0853,0.0115,0.0112,-10.5%,+25.5%
45-60,interceptions,44706,2697,0.208,0.0128,0.0105,0.221,+6.2%,-0.0002,0.0959,0.0104,0.0104,-0.1%,+46.2%
45-70,opp_directed,41098,2419,5.369,-0.397,0.067,0.0,-7.4%,-0.7637,0.3085,0.0669,0.0663,-14.2%,+5.7%
45-70,pressures,41098,2419,4.405,-0.2633,0.057,0.0,-6.0%,-0.5702,0.3117,0.0565,0.056,-12.9%,+7.1%
45-70,tackles,41098,2419,0.552,-0.0112,0.0165,0.4957,-2.0%,-0.0668,0.1611,0.0165,0.0163,-12.1%,+29.2%
45-70,fouls,41098,2419,0.412,-0.1132,0.0128,0.0,-27.5%,-0.154,0.0317,0.0128,0.0124,-37.4%,+7.7%
