window,dv,n,treated,control_mean,ate,se,p,rel,lee_lo,lee_hi,lee_lo_se,lee_hi_se,lee_lo_rel,lee_hi_rel,im_c,ci_lo,ci_hi,ci_lo_rel,ci_hi_rel
45-50,opp_directed,46553,2890,1.387,-0.1132,0.028,0.0001,-8.2%,-0.147,0.0132,0.0279,0.0276,-10.6%,+1.0%,1.645,-0.1929,0.0586,-13.9,4.2
45-50,pressures,46553,2890,1.159,-0.0873,0.0231,0.0002,-7.5%,-0.1184,0.0053,0.023,0.0226,-10.2%,+0.5%,1.645,-0.1562,0.0425,-13.5,3.7
45-50,tackles,46553,2890,0.128,0.0055,0.0075,0.4628,+4.3%,0.0018,0.0395,0.0075,0.0074,+1.4%,+30.8%,1.645,-0.0105,0.0517,-8.2,40.4
45-50,fouls,46553,2890,0.099,-0.0279,0.0056,0.0,-28.1%,-0.0303,0.0012,0.0056,0.0055,-30.5%,+1.2%,1.645,-0.0395,0.0102,-39.9,10.3
45-50,ball_directed,46553,2890,0.688,-0.0021,0.0171,0.9019,-0.3%,-0.0209,0.0702,0.0171,0.0169,-3.0%,+10.2%,1.645,-0.049,0.098,-7.1,14.2
45-50,ball_recoveries,46553,2890,0.327,0.0001,0.0117,0.9962,+0.0%,-0.0074,0.0497,0.0117,0.0115,-2.3%,+15.2%,1.645,-0.0266,0.0686,-8.1,21.0
45-50,clearances,46553,2890,0.151,0.0063,0.0081,0.4336,+4.2%,-0.0003,0.0479,0.0081,0.0081,-0.2%,+31.8%,1.645,-0.0136,0.0612,-9.0,40.5
45-50,blocks,46553,2890,0.13,-0.0154,0.0069,0.0253,-11.8%,-0.0183,0.0184,0.0069,0.0067,-14.1%,+14.1%,1.645,-0.0297,0.0294,-22.8,22.6
45-50,interceptions,46553,2890,0.08,0.0084,0.0063,0.1828,+10.4%,0.0056,0.0369,0.0063,0.0063,+6.9%,+45.9%,1.645,-0.0048,0.0473,-6.0,59.1
45-60,opp_directed,44706,2697,3.478,-0.2323,0.0484,0.0,-6.7%,-0.4081,0.1694,0.0482,0.0481,-11.7%,+4.9%,1.645,-0.4874,0.2485,-14.0,7.1
45-60,pressures,44706,2697,2.87,-0.1559,0.0406,0.0001,-5.4%,-0.3074,0.1671,0.0407,0.0406,-10.7%,+5.8%,1.645,-0.3744,0.2339,-13.0,8.1
45-60,tackles,44706,2697,0.348,-0.0047,0.0124,0.7044,-1.4%,-0.0257,0.1016,0.0124,0.0123,-7.4%,+29.2%,1.645,-0.0461,0.1218,-13.2,35.0
45-60,fouls,44706,2697,0.261,-0.0652,0.0096,0.0,-25.0%,-0.0824,0.0193,0.0096,0.0095,-31.6%,+7.4%,1.645,-0.0982,0.0349,-37.6,13.4
45-60,ball_directed,44706,2697,1.781,-0.0066,0.0284,0.8163,-0.4%,-0.108,0.204,0.0284,0.0282,-6.1%,+11.5%,1.645,-0.1547,0.2504,-8.7,14.1
