window,dv,n,treated,control_mean,ate,se,p,rel
45-50,def_actions,46553,2890,2.074,-0.1107,0.0342,0.0012,-5.3%
45-50,pressures,46553,2890,1.159,-0.0883,0.023,0.0001,-7.6%
45-50,tackles,46553,2890,0.128,0.0062,0.0075,0.4099,+4.8%
45-50,fouls,46553,2890,0.099,-0.0279,0.0056,0.0,-28.1%
45-50,ball_recoveries,46553,2890,0.327,0.0001,0.0117,0.9951,+0.0%
45-50,clearances,46553,2890,0.151,0.0065,0.0081,0.4236,+4.3%
45-50,blocks,46553,2890,0.13,-0.015,0.0069,0.0288,-11.6%
45-50,interceptions,46553,2890,0.08,0.0079,0.0063,0.2119,+9.8%
45-60,def_actions,44706,2697,5.26,-0.2313,0.0589,0.0001,-4.4%
45-60,pressures,44706,2697,2.87,-0.1519,0.0406,0.0002,-5.3%
45-60,tackles,44706,2697,0.348,-0.0049,0.0124,0.6942,-1.4%
45-60,fouls,44706,2697,0.261,-0.0648,0.0096,0.0,-24.8%
45-60,ball_recoveries,44706,2697,0.841,0.0028,0.0192,0.8818,+0.3%
45-60,clearances,44706,2697,0.398,-0.0077,0.0142,0.5895,-1.9%
45-60,blocks,44706,2697,0.334,-0.0139,0.0114,0.2245,-4.1%
45-60,interceptions,44706,2697,0.208,0.0128,0.0105,0.221,+6.2%
45-70,def_actions,41098,2419,8.236,-0.4178,0.0814,0.0,-5.1%
45-70,pressures,41098,2419,4.405,-0.2633,0.057,0.0,-6.0%
45-70,tackles,41098,2419,0.552,-0.0112,0.0165,0.4957,-2.0%
45-70,fouls,41098,2419,0.412,-0.1132,0.0128,0.0,-27.5%
45-70,ball_recoveries,41098,2419,1.335,-0.0298,0.0258,0.2468,-2.2%
45-70,clearances,41098,2419,0.669,0.0156,0.0204,0.4423,+2.3%
45-70,blocks,41098,2419,0.532,-0.0229,0.0156,0.1412,-4.3%
45-70,interceptions,41098,2419,0.331,0.0123,0.0141,0.3818,+3.7%
45-80,def_actions,36980,2139,11.082,-0.6149,0.1077,0.0,-5.5%
45-80,pressures,36980,2139,5.801,-0.3479,0.0727,0.0,-6.0%
45-80,tackles,36980,2139,0.76,-0.0375,0.0205,0.068,-4.9%
45-80,fouls,36980,2139,0.559,-0.1643,0.0159,0.0,-29.4%
45-80,ball_recoveries,36980,2139,1.808,-0.0447,0.0336,0.1838,-2.5%
45-80,clearances,36980,2139,0.967,0.0071,0.0271,0.7925,+0.7%
45-80,blocks,36980,2139,0.726,-0.0199,0.0198,0.3167,-2.7%
45-80,interceptions,36980,2139,0.46,0.0174,0.0176,0.3235,+3.8%
45-90,def_actions,33798,1932,14.742,-0.7831,0.1345,0.0,-5.3%
45-90,pressures,33798,1932,7.505,-0.4766,0.0919,0.0,-6.4%
45-90,tackles,33798,1932,1.039,-0.0679,0.0256,0.0081,-6.5%
45-90,fouls,33798,1932,0.744,-0.2135,0.0198,0.0,-28.7%
45-90,ball_recoveries,33798,1932,2.435,-0.0467,0.0422,0.2686,-1.9%
45-90,clearances,33798,1932,1.421,0.0719,0.0373,0.0539,+5.1%
45-90,blocks,33798,1932,0.976,-0.0082,0.0251,0.7437,-0.8%
45-90,interceptions,33798,1932,0.621,-0.0104,0.0211,0.6204,-1.7%
