match_id,B365H,B365D,B365A,odds_p_home,odds_p_draw
3890561,3.2,3.8,2.05,0.2939,0.2475
3890505,1.13,9.0,21.0,0.8479,0.1065
3890511,1.5,4.2,7.0,0.6364,0.2273
3890515,2.05,3.4,3.6,0.4603,0.2775
3890411,2.15,3.4,3.4,0.4416,0.2792
3890397,1.8,3.5,4.5,0.5224,0.2687
3890401,1.17,8.0,15.0,0.8168,0.1195
3890396,1.57,4.2,5.75,0.6072,0.227
3890384,1.2,7.5,12.0,0.7937,0.127
3890385,1.6,4.0,5.75,0.5959,0.2383
3890282,2.0,3.5,3.8,0.4767,0.2724
3890287,1.13,9.5,19.0,0.8486,0.1009
3890269,2.88,3.5,2.4,0.3308,0.2722
3890268,2.05,3.5,3.6,0.464,0.2718
3890402,2.63,3.5,2.63,0.3634,0.2731
3890564,2.0,3.5,3.8,0.4767,0.2724
3890563,1.5,4.33,6.5,0.634,0.2196
3890562,1.29,5.75,8.0,0.7217,0.1619
3890560,3.5,3.75,2.0,0.2715,0.2534
3890559,1.08,11.0,26.0,0.8774,0.0861
3890558,2.05,3.6,3.5,0.464,0.2642
3890557,2.0,3.75,3.5,0.4751,0.2534
3890556,2.3,4.0,2.75,0.4147,0.2385
3890555,1.75,3.6,5.0,0.5446,0.2648
3890554,2.8,3.75,2.38,0.3421,0.2554
3890553,7.0,4.75,1.45,0.137,0.2018
3890552,2.1,3.8,3.2,0.4527,0.2502
3890551,2.7,3.4,2.63,0.3545,0.2815
3890550,1.91,3.8,3.8,0.4987,0.2507
3890549,1.7,4.2,4.5,0.561,0.2271
3890548,15.0,7.0,1.18,0.0631,0.1352
3890547,3.4,3.75,2.05,0.2805,0.2543
3890546,2.05,3.6,3.5,0.464,0.2642
3890545,1.8,3.75,4.33,0.5275,0.2532
3890544,1.8,3.6,4.6,0.5287,0.2644
3890543,3.8,4.0,1.85,0.2497,0.2373
3890542,1.36,5.0,8.5,0.6983,0.1899
3890541,1.4,5.0,7.5,0.6818,0.1909
3890540,1.62,3.75,6.0,0.5875,0.2538
3890539,2.5,3.2,3.0,0.3825,0.2988
3890538,2.45,3.25,3.0,0.389,0.2933
3890537,2.88,3.3,2.5,0.3306,0.2885
3890536,1.62,4.2,5.25,0.5902,0.2277
3890535,1.8,3.75,4.33,0.5275,0.2532
3890534,3.0,3.3,2.4,0.3165,0.2878
3890533,9.0,4.5,1.4,0.1061,0.2121
3890532,1.91,3.4,4.33,0.4993,0.2805
3890531,1.95,3.3,4.33,0.4899,0.2895
3890530,4.75,4.2,1.65,0.1996,0.2258
3890529,2.6,3.5,2.63,0.3661,0.272
3890528,1.33,5.25,9.0,0.7137,0.1808
3890527,2.1,3.4,3.6,0.4543,0.2806
3890526,1.18,7.5,15.0,0.8091,0.1273
3890525,2.55,3.2,2.88,0.3728,0.2971
3890524,2.38,3.4,3.0,0.4011,0.2807
3890523,2.5,3.5,2.75,0.3812,0.2723
3890522,2.45,3.6,2.75,0.3889,0.2647
3890521,1.36,5.25,8.0,0.6998,0.1813
3890520,5.5,4.0,1.62,0.1733,0.2383
3890519,3.1,3.25,2.3,0.3029,0.2889
3890518,4.2,4.0,1.73,0.2233,0.2345
3890517,3.2,3.4,2.2,0.2945,0.2772
3890516,6.0,4.33,1.5,0.1566,0.217
3890514,2.05,3.4,3.5,0.4569,0.2755
3890513,2.2,3.4,3.25,0.4303,0.2784
3890512,2.3,3.25,3.1,0.4082,0.2889
3890510,1.83,3.6,4.33,0.5179,0.2633
3890509,2.38,3.3,3.1,0.4018,0.2898
3890508,2.75,3.0,2.7,0.3407,0.3123
3890507,1.2,7.0,13.0,0.7913,0.1357
3890506,3.4,3.3,2.2,0.2797,0.2881
3890504,3.1,3.25,2.38,0.3071,0.2929
3890503,2.1,3.4,3.6,0.4543,0.2806
3890502,2.0,3.2,4.0,0.4706,0.2941
3890501,6.5,4.33,1.5,0.1463,0.2196
3890500,2.3,3.5,2.9,0.4081,0.2682
3890499,2.25,3.4,3.2,0.4229,0.2798
3890498,1.44,4.33,8.0,0.6611,0.2199
3890497,1.85,3.6,4.33,0.5152,0.2647
3890496,2.05,3.2,4.0,0.4644,0.2975
3890495,11.0,5.0,1.29,0.0853,0.1876
3890494,2.38,3.4,3.0,0.4011,0.2807
3890493,2.45,3.5,2.8,0.3883,0.2718
3890492,1.67,3.75,5.5,0.5718,0.2546
3890491,1.36,5.0,8.5,0.6983,0.1899
3890490,3.5,3.3,2.15,0.2711,0.2875
3890489,1.13,9.0,21.0,0.8479,0.1065
3890488,1.57,4.33,5.5,0.6068,0.22
3890487,2.8,3.1,2.7,0.3401,0.3072
3890486,3.4,3.6,2.1,0.2806,0.265
3890485,3.0,3.2,2.5,0.3187,0.2988
