family,dv,control_mean,ate,se,p,rel
1,defensive_actions,5.26,-0.2251,0.0592,0.0001,-4.3%
1,pressure,2.873,-0.1404,0.0415,0.0007,-4.9%
1,tackle,0.347,-0.0007,0.0125,0.9571,-0.2%
1,foul_committed,0.262,-0.0694,0.0096,0.0,-26.5%
1,ball_recovery,0.84,0.0036,0.0193,0.8539,+0.4%
1,clearance,0.397,-0.0164,0.0141,0.2433,-4.1%
1,block,0.335,-0.0112,0.0117,0.3367,-3.4%
1,interception,0.207,0.0138,0.0106,0.1943,+6.6%
2,adverse_events,0.668,-0.0374,0.0166,0.0239,-5.6%
2,miscontrol,0.243,-0.0192,0.0089,0.0307,-7.9%
2,dispossessed,0.224,-0.0047,0.0096,0.625,-2.1%
2,dribbled_past,0.201,-0.0116,0.0093,0.2088,-5.8%
